obs_gc1,obs_gc2,obs_gc3,obs_gf1,obs_gf2,obs_gf3,obs_gstm1,obs_gstm2,obs_gstm3
12,13,9,10,7,2,7,10,12
14,11,11,10,5,10,11,15,15
13,13,9,13,7,18,1,9,5
12,8,9,6,3,2,9,11,6
9,7,2,2,3,21,4,1,0
7,8,4,4,2,14,9,5,2
2,4,3,5,5,17,7,5,12
12,11,10,4,1,16,3,3,3
16,17,9,13,6,12,20,15,7
12,9,9,11,3,9,11,12,5
6,9,7,13,6,25,13,13,8
10,10,8,1,3,11,22,17,17
17,13,11,6,5,11,10,14,10
8,14,8,6,1,18,22,16,8
10,9,6,7,4,31,5,6,0
13,8,4,6,1,0,4,4,7
6,6,5,6,0,7,4,18,7
9,9,4,3,1,15,2,1,0
13,14,11,12,4,16,4,4,6
13,8,9,8,4,0,3,4,5
11,8,9,13,4,0,7,8,8
13,11,10,12,6,0,15,11,10
8,7,6,13,1,0,10,13,9
5,7,3,4,0,0,17,9,1
15,10,7,12,7,10,10,5,5
11,8,7,12,5,0,8,9,7
8,5,4,4,1,16,21,19,6
9,14,9,11,4,24,4,8,5
13,10,9,4,4,3,5,6,5
14,12,11,11,8,12,11,12,9
15,15,9,12,7,0,6,7,10
12,12,7,11,4,8,8,7,4
12,13,11,12,6,29,8,8,8
14,11,11,11,3,8,17,14,4
16,13,10,13,8,40,2,16,17
17,14,11,12,8,17,11,12,13
11,10,7,8,5,8,11,11,6
15,15,11,8,4,24,9,11,3
17,15,11,12,4,24,21,19,22
7,6,6,8,2,0,3,8,4
12,9,8,7,1,0,10,11,8
9,8,8,4,0,5,11,9,8
14,14,10,4,4,0,11,8,8
14,13,10,11,3,0,10,9,9
16,14,10,11,8,32,5,0,6
13,13,10,12,5,0,3,7,6
7,7,5,9,2,0,10,11,5
1,4,1,6,4,9,13,8,13
11,12,11,8,4,0,5,9,6
13,14,10,11,3,1,16,16,11
14,13,10,9,2,0,8,9,7
11,10,9,8,6,29,9,10,8
9,8,6,9,7,15,10,15,7
9,10,9,5,3,0,6,0,5
14,11,10,9,2,37,12,11,4
14,12,10,10,4,8,8,7,6
15,13,10,12,6,31,13,9,7
14,16,11,12,3,12,20,15,18
10,11,9,10,0,3,0,20,0
10,8,5,5,4,12,2,4,0
10,8,7,11,3,7,11,13,11
8,8,4,11,6,40,9,9,6
14,13,10,12,3,28,11,12,8
9,14,8,7,4,0,8,9,5
17,9,9,13,5,7,13,15,8
10,6,7,10,3,15,5,7,3
7,8,3,4,4,4,6,8,2
15,10,10,13,5,0,8,8,8
16,17,11,12,2,21,14,11,9
14,16,9,12,6,0,15,10,11
10,8,5,10,3,29,13,14,7
10,10,8,13,7,37,12,11,11
17,15,11,7,5,18,12,15,17
12,9,7,12,5,36,9,5,4
15,14,10,10,5,20,8,8,7
15,12,11,11,6,5,11,12,13
14,10,8,11,5,30,5,6,5
15,17,9,10,6,5,8,4,6
15,15,9,11,3,7,12,11,9
8,5,5,10,6,0,14,13,7
