gc,gf,gsm,G,Gc,Gf,Gstm
27,34,22,-0.0308018005446505,-0.50186423023418,0.833601184473555,-0.249435870237982
22,19,30,-1.56731380552046,0.745941928445533,-0.81971971527153,0.79652321929052
42,46,23,1.0463417229714,0.843044168130858,1.37040396479545,-0.47711772431196797
24,33,41,-1.11210584107442,0.387135599397845,1.00381521296091,1.48671456890557
16,15,43,-2.08801836221125,0.195818410372556,-0.601939012184333,1.7649811892755
31,24,22,0.0473749848506232,0.159992201518091,-0.770347499536902,-0.570555894154084
24,38,28,-0.832207437719798,0.0626593146063617,0.0569523626292361,0.294572247951362
28,33,20,-0.200621129771173,-0.0961118902832046,-0.257711270957882,-0.61713152129728
31,23,24,-0.137680889802591,0.405036236258693,-0.709451630267739,-0.118857236604963
11,30,48,-1.38541318669754,-1.64092605071933,0.256492883794016,1.49981569607826
27,17,26,-0.159792272869291,-0.31912385137633,0.830959098048001,-0.176672650373267
42,16,31,1.2889733471534,0.501472233308495,-0.564452558311572,-0.0918305214563386
43,21,42,1.08098890803111,0.96503279916887,-0.142394704941981,1.17715260815964
27,15,38,-0.0826610244829783,-0.449739047188296,0.312851578179362,0.571543489904667
32,37,49,0.475242159970028,-0.214424006521082,0.105870589250079,1.9446255245924
31,35,31,-0.0234968675031525,0.31492785921167,-0.266677803244917,0.0506218243626613
38,8,37,0.707458356660816,0.559776803566287,-1.89614520676945,0.454773837081011
41,14,36,0.932098197132925,0.813353143245767,-0.495078476550947,0.697825796909542
24,10,16,-0.262605750960139,-0.700031994732264,-1.51958464054763,-0.932145419193042
30,10,25,0.132495006587575,-0.114658919044396,-1.21073493981447,-0.330766453157653
37,46,36,0.840976564005644,0.237412147703559,0.0425806586264894,0.40000734616085
37,13,32,0.684003061216601,0.4052009564587,-0.878610421016429,0.487962184106349
42,17,41,1.15146990728122,0.685903072911737,-0.0513353565205816,0.932246942940347
28,19,16,-0.322549372535439,0.109925610526142,-0.162904583193213,-0.95815364424829
27,43,28,-0.350571407136043,-0.0528069007599659,-0.540063337407287,0.218211694214645
